"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar el registro de la acción de tutela en el SIUGJ","Registro de demanda lineal","ERROR","2022-05-03T19:19:16.924-05:00[America/Bogota]","0.0","43.22"
"Realizar el registro de la acción de tutela en el SIUGJ","Registro de demanda lineal","SUCCESS","2022-05-04T22:08:21.005-05:00[America/Bogota]","0.0","28.63"
